_Version,_OID,_use,_name,_mjd,_sol,_ra,_dec,_vg,_type,_a,_q,_e,_peri,_node,_incl,_M,_T/e,_r_sd,_v_sd,_Hb,_He,_zr,_mag,_mass,_memo
501,4000000742,1,_TO_new_BTA,57567.19496,96.699997,84.900002,23.5,29,0,2.350547,0.349874,0.851152,64.76153,96.707909,0.176915,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000743,1,_TO_new_TAS,57566.4522,96,93.300003,31.299999,15.8,0,1.293979,0.624414,0.517447,82.454145,95.985784,4.362564,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000744,1,_TO_new_JPE,57578.50924,107.5,340,15,61.299999,0,44.88196,0.536113,0.988055,267.195918,107.483791,131.612384,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000745,1,_TO_new_PHE,57581.4476,110.300003,31.6,-47.700001,47,0,4.779955,0.96807,0.797473,26.81647,290.285692,84.737482,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000746,1,_TO_new_BCA,57598.52485,126.599998,352.899994,58.799999,50.400002,0,14.339849,1.004027,0.929983,192.312968,126.584573,89.886532,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000747,1,_TO_new_JCE,57574.1183,103.300003,225,-35,15.3,0,-88.888494,0.967137,1.01088,25.453549,283.295618,6.360965,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000748,1,_TO_new_SCA,57581.14322,110,311.100006,-14.5,26.9,0,1.289578,0.269175,0.791269,311.634664,109.993314,4.587603,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000749,1,_TO_new_AND,57702.80735,228.588455,22.500786,29.734531,16.98068,0,2.852052,0.789106,0.72332,238.906081,228.603815,8.989515,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000750,1,_TO_new_MSE,57585.33159,114,240,11,7.7,0,1.787499,0.999808,0.440666,198.7882,113.987253,6.451255,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
