code,streamname,sol_1,sol2,sol_peak,SelectStart,SelectEnd
FLY,15 Lyncids,187,217,202,,
FMV,February mu Virginids,312,342,327,,
FOP,f Ophiuchids,83,113,98,,
FPL,February pi Leonids,282.899994,312.899994,297.899994,,
FTA,omega Taurids,225.199997,255.199997,240.199997,,
GBO,gamma Bootids,306,336,321,,
GCA,gamma Camelopardalids,94.900002,124.900002,109.900002,,
GCM,gamma Canis Majorids,242,272,257,,
GCO,Gamma-Corvids,300.5,309.600006,304.600006,,
GCP,gamma Cepheids,219.990005,249.990005,234.990005,,
GDE,gamma Delphinids,65.400002,95.400002,80.400002,,
GDO,gamma Doradids,140.699997,170.699997,155.699997,,
GDR,July Gamma Draconids,110.300003,140.300003,125.300003,,
GEM,Geminids,245.581406,279.435577,261.395874,,
GER,gamma Eridanids,123,153,138,,
GLE,Dayt. gamma Leonids,133.699997,163.699997,148.699997,,
GLI,gamma Librids,24,54,39,,
GNO,gamma Normids,338,8,353,,
GPS,gamma Piscids,185,215,200,,
GPU,October gamma Puppids,187.699997,217.699997,202.699997,,
GSA,September gamma Sagittariids,155.100006,185.100006,170.100006,,
GTA,gamma Taurids,217.800003,247.800003,232.800003,,
GTI,gamma Triangulids,257,287,272,,
GUM,gamma Ursae Minorids,284,314,299,,
GVE,gamma Velids,273,303,288,,
GVI,Dayt. gamma Virginids,169,199,184,,
HVI,h Virginids,27.77174,43.580082,38.964092,,
Hyd,Sigma Hydrids,227.870285,280.621307,252.902084,,
IAR,November iota Aurigids,218.600006,248.600006,233.600006,,
ICA,iota Cassiopeiids,47,77,62,,
ICE,iota Cetids,161.100006,191.100006,176.100006,,
ICS,October iota Cassiopeiids,194,224,209,,
ICY,iota Cygnids,203,233,218,,
IOA,iota Arietids,219.699997,249.699997,234.699997,,
ISC,iota Sculptorids,113,143,128,,
IVI,Dayt. iota Virginids,208,238,223,,
JAD,July Andromedids,86,116,101,,
JBO,June Bootids,81.300003,111.300003,96.300003,,
JBP,July beta Pegasids,85,115,100,,
JCC,July chi Cassiopeiids,98.099998,128.100006,113.099998,,
JCE,July Centaurids,88.300003,118.300003,103.300003,,
JCO,January Comae Berenicids,286,316,301,,
JEC,June epsilon Cygnids,67.400002,97.400002,82.400002,,
JEO,June epsilon Ophiuchids,69.099998,99.099998,84.099998,,
JGD,January gamma Delphinids,274.399994,304.399994,289.399994,,
JGP,July gamma Pegasids,105.800003,135.800003,120.800003,,
JGS,July gamma Sagittariids,93.900002,123.900002,108.900002,,
JHY,January Hydrids,277,307,292,,
JIP,June iota Pegasids,79.456001,109.456001,94.456001,,
JLE,January Leonids,267.5,297.5,282.5,,
JLY,June Lyrids,70.199997,100.199997,85.199997,,
JMC,June mu Cassiopeiids,59,89,74,,
JNO,January nu Orionids,292.899994,322.899994,307.899994,,
JPE,July Pegasids,92.5,122.5,107.5,,
JPV,January phi Virginids,270.600006,300.600006,285.600006,,
JRC,June rho Cygnids,69,99,84,,
JRH,July rho Herculids,109.599998,139.600006,124.599998,,
JRP,June rho Cygnids,69,99,84,,
JSC,Dayt. Scutids,265.399994,295.399994,280.399994,,
JTR,July Taurids,89,119,104,,
JZA,January zeta Aurigids,277,307,292,,
JZD,January zeta Draconids,269,299,284,,
KAQ,kappa Aquariids,164,194,179,,
KCG,Kappa Cygnids,123.729103,155.548401,140.681274,,
KCT,kappa Cetids,79,109,94,,
KDR,kappa Draconids,143,173,158,,
KHY,kappa Hydrids,268,298,283,,
KLE,Dayt. kappa Leonids,166,196,181,,
KLI,Dayt. kappa Librids,244,274,259,,
KLY,kappa Lyrids,111.800003,141.800003,126.800003,,
KPA,kappa Pavonids,99.800003,129.800003,114.800003,,
KSC,Kappa-Scorpiids,43.799999,66,55.700001,,
KSE,kappa Serpentids,0.7,30.700001,15.7,,
KUM,kappa Ursae Majorids,208.210007,238.210007,223.210007,,
KVI,kappa Virginids,351,21,6,,
LAQ,lambda Aquariids,132.5,162.5,147.5,,
LBO,lambda Bootids,280.5,310.5,295.5,,
LCE,lambda Centaurids,344,14,359,,
LCY,lambda Cygnids,184,214,199,,
LDR,lambda Draconids,181,211,196,,
LEO,Leonids,220.924622,247.122696,235.43309,,
LLY,lambda Lyrids,26,56,41,,
LMI,Leonis Minorids,203.700592,220.86702,208.898773,,
LOP,lambda Ophiuchids,69.5,99.5,84.5,,
LPE,Dayt. lambda Pegasids,14.7,44.700001,29.700001,,
LUM,lambda Ursae Majorids,200,230,215,,
LVI,lambda Virginids,5,35,20,,
LVL,lambda Velids,254.699997,284.700012,269.700012,,
LYR,April Lyrids,24.267082,41.594219,32.532459,,
MAC,May alpha Comae Berenicids,27.799999,57.799999,42.799999,,
MAL,May Lacertids,27,57,42,,
MBC,May beta Capricornids,42,72,57,,
MCA,March Cassiopeiids,335,5,350,,
MDL,May delta Leonids,39,69,54,,
MDR,mu Draconids,14.2,44.200001,29.200001,,
MHY,mu Hydrids,285,315,300,,
MIC,Microscopiids,89,119,104,,
MKA,Dayt. kappa Aquariids,339,9,354,,
MLE,mu Leonids,220.699997,250.699997,235.699997,,
MLV,May lambda Virginids,30,60,45,,
MLY,March Lyncids,324.399994,354.399994,339.399994,,
MMI,May Microscopiids,42.900002,72.900002,57.900002,,
MML,May mu Leonids,25.4,55.400002,40.400002,,
Mon,Dec. Monocerotids,245.632233,269.927948,257.588074,,
MPR,mu Perseids,124.639999,154.639999,139.639999,,
MPS,May psi Scorpiids,46.5,76.5,61.5,,
MPV,May phi Virginids,26.6,56.599998,41.599998,,
MSE,mu Serpentids,99,129,114,,
MSR,July mu Serpendids,97.199997,127.199997,112.199997,,
MUL,mu Lyrids,101,131,116,,
MVE,mu Velids,247,277,262,,
MVL,May Vulpeculids,39,69,54,,
MZC,May zeta Cygnids,45,75,60,,
NAL,North. alpha Leonids,334,4,349,,
NAN,nu Andromedids,271.299988,301.299988,286.299988,,
NAR,November nu Arietids,226,256,241,,
NAS,November alpha Sextantids,216.5,246.5,231.5,,
NAU,nu Aurigids,192.300003,222.300003,207.300003,,
NBO,nu Bootids,284.179993,314.179993,299.179993,,
NCC,North. delta Cancrids,281.299988,311.299988,296.299988,,
NCY,nu Cygnids,15,45,30,,
NDA,North. delta Aquariids,108.400002,138.399994,123.400002,,
NDD,November delta Draconids,226,256,241,,
NDL,North. delta Leonids,319.700012,349.700012,334.700012,,
NDR,nu Draconids,155.300003,185.300003,170.300003,,
NEC,Northern Eta-Cetids,162.100006,172.100006,167.5,,
NER,November epsilon Eridanids,225.800003,255.800003,240.800003,,
NGM,nu Geminids,247,277,262,,
NGP,November gamma Pegasids,213.399994,243.399994,228.399994,,
NGV,North. gamma Virginids,9.3,39.299999,24.299999,,
NHD,November Hydrids,220,250,235,,
NHY,nu Hydrids,328.100006,358.100006,343.100006,,
NIA,North. iota Aquariids,132.699997,162.699997,147.699997,,
NID,November i Draconids,226,256,241,,
NLD,November lambda Draconids,221.070007,251.070007,236.070007,,
NLL,North. Librids-Lupids,52.799999,82.800003,67.800003,,
NLM,November Leonis Minorids,222.990005,252.990005,237.990005,,
NLY,November Lyncids,222.919998,252.919998,237.919998,,
NMA,North. Dayt. May Arietids,40,70,55,,
NNA,99 Aquariids,113.400002,143.399994,128.399994,,
NOA,North. October delta Arietids,186.699997,216.699997,201.699997,,
NOC,North. Dayt. omega Cetids,31.700001,61.700001,46.700001,,
NOO,Nov. Orionids,228.708771,260.175415,249.245178,,
NOP,North. May Ophiuchids,34.700001,64.699997,49.700001,,
NPH,nu Phoenicids,114.699997,144.699997,129.699997,,
NPI,North. delta Piscids,169,199,184,,
NSA,North. mu Sagittariids,63,93,78,,
NSC,North. omega Scorpiids,55,85,70,,
NSS,North. sigma Sagittariids,77.300003,107.300003,92.300003,,
NTA,North. Taurids,202.89798,258.041473,234.370377,,
NUE,Nu Eridanids,156.783234,174.462677,167.868835,,
NUM,nu Ursae Majorids,39.400002,69.400002,54.400002,,
NVI,North. March Virginids,339,9,354,,
NZC,Northern June Aquilids,71,101,86,,
NZP,November zeta Perseids,225.399994,255.399994,240.399994,,
NZT,November zeta Taurids,225,255,240,,
OBC,October beta Camelopardalids,199,229,214,,
OCA,omega Centaurids,307.700012,337.700012,322.700012,,
OCC,October Capricornids,177.399994,201,189.699997,,
OCE,South. Dayt. omega Cetids,31.700001,61.700001,46.700001,,
OCG,October Cygnids,191,221,206,,
OCN,Centaurid I Complex,308.399994,338.399994,323.399994,,
OCS,omega Cassiopeiids,302.5,332.5,317.5,,
OCT,October Camelopardalids,188.778885,199.881607,197.068878,,
OCU,October Ursae Majorids,194.618286,214.629456,204.702805,,
OCY,omicron Cygnids,102.199997,132.199997,117.199997,,
ODR,omicron Draconids,100.5,130.5,115.5,,
OEE,October eta Eridanids,186,216,201,,
OER,Omicron Eridanids,227.865112,245.004227,234.737274,,
OGC,October gamma Cetids,191.399994,221.399994,206.399994,,
OKD,October kappa Draconids,201,231,216,,
OLE,omikron Leonids,281,311,296,,
OLP,October Leporids,188,218,203,,
OLY,October Lyncids,191,221,206,,
OMA,Omicron Ursae Majorids,213.899994,243.899994,228.899994,,
OMC,omega Capricornids,51,81,66,,
OME,omega Eridanids,219,249,234,,
OML,October mu Leonids,203.600006,233.600006,218.600006,,
OMO,October Monocerotids,191,221,206,,
OPC,omega Piscids,159,189,174,,
OPG,omicron Pegasids,85,115,100,,
OPI,omega Piscids,151.800003,181.800003,166.800003,,
OPL,pi Leonids,203.100006,233.100006,218.100006,,
ORI,Orionids,178.886932,234.003525,207.926636,,
ORN,North. chi Orionids,242.300003,272.299988,257.299988,,
ORS,South. chi Orionids,245,275,260,,
OSE,omega Serpentids,260.5,290.5,275.5,,
OUI,October Ursae Minorids,193,223,208,,
OUM,omega Ursae Majorids,47,77,62,,
PAQ,phi Aquariids,45,75,60,,
PAR,psi Aurigids,212,242,227,,
PAU,Piscis Austrinids,124.043777,140.561752,133.191345,,
PBO,phi Bootids,27.1,57.099998,42.099998,,
PCA,psi Cassiopeiids,91,121,106,,
PDF,phi Draconids,353,23,8,,
PEG,mu Pegasids,215.399994,245.399994,230.399994,,
PER,Perseids,119.033241,160.456467,139.212097,2014/08/12 18:18,2014/08/13 08:08
PHE,July Phoenicids,95.300003,125.300003,110.300003,,
PHO,Phoenicids,238,268,253,,
PHP,phi Pegasids,39,69,54,,
PIH,pi Hydrids,302.100006,332.100006,317.100006,,
PIP,January pi Puppids,275.700012,305.700012,290.700012,,
POR,September pi Orionids,163.423996,193.423996,178.423996,,
PPS,phi Piscids,91,121,106,,
PPU,pi Puppids,18.6,48.599998,33.599998,,
PSA,psi Aurigids,184,214,199,,
PSP,psi Pegasids,48,78,63,,
PSU,Psi Ursae Majorids,239.996429,265.079437,252.88707,,
PUM,April psi Ursae Majorids,8,38,23,,
PUP,gamma Puppids,240,270,255,,
PUV,Puppid-Velid I Complex,239,269,254,,
PVE,b Puppids,241.300003,271.299988,256.299988,,
PVI,January pi Virginids,280,310,295,,
QPE,Dayt. q Pegasids,339,9,354,,
QUA,Quadrantids,268.279999,298.279999,283.279999,,
RBO,rho Bootids,227,257,242,,
RGE,rho Geminids,282,312,297,,
RLE,rho Leonids,247.179993,277.179993,262.179993,,
RPU,rho Puppids,208,238,223,,
SAL,South. alpha Leonids,344,14,359,,
SAP,South alpha Pegasids,97,127,112,,
SAQ,September Aquariids,143.100006,173.100006,158.100006,,
SAR,September mu Arietids,164,194,179,,
SCA,sigma Capricornids,95,125,110,,
SCC,South. delta Cancrids,281.299988,311.299988,296.299988,,
SCS,September beta Cassiopeiids,158,188,173,,
SCT,sigma Cetids,34,64,49,,
SCU,Scutids,79.900002,109.900002,94.900002,,
SDA,South. Delta Aquariids,118.030312,145.40593,129.735458,,
SDL,South. delta Leonids,319.700012,349.700012,334.700012,,
SGE,March delta Geminids,346,16,1,,
SGV,South. gamma Virginids,7.7,37.700001,22.700001,,
SIA,South. iota Aquariids,116.699997,146.699997,131.699997,,
SIC,September iota Cassiopeiids,154,184,169,,
SLD,Southern lambda Draconids,206,236,221,,
SLE,sigma Leonids,12.7,42.700001,27.700001,,
SLL,South. Librids-Lupids,49.900002,79.900002,64.900002,,
SLY,September Lyncids,152,182,167,,
SMA,South. Dayt. May Arietids,40,70,55,,
SOA,South. October delta Arietids,183.5,213.5,198.5,,
SOL,September-October Lyncids,171,201,186,,
SOO,September omicron Orionids,170.600006,200.600006,185.600006,,
SOP,South. May Ophiuchids,41.700001,71.699997,56.700001,,
SOR,sigma Orionids,176.699997,206.699997,191.699997,,
SPE,September Perseids,154.779892,181.163147,167.137466,,
SPI,South. delta Piscids,159,189,174,,
SPO,Sporadics,0,0,0,,
SPU,sigma Puppids,238.699997,268.700012,253.699997,,
SRP,September rho Pegasids,162.5,192.5,177.5,,
SSA,sigma Arietids,187,217,202,,
SSC,South. omega Scorpiids,55,85,70,,
SSE,sigma Serpentids,260.5,290.5,275.5,,
SSG,South. mu Sagittariids,63,93,78,,
SSS,Southern sigma Sagittariids,72,102,87,,
STA,South. Taurids,177.994156,275.283661,219.711349,,
STC,September theta Capricornids,162.699997,192.699997,177.699997,,
SVI,South. March Virginids,339,9,354,,
SZC,Southhern June Aquilids,65,95,80,,
TAH,tau Herculids,57,87,72,,
TAQ,tau Aquariids,82.300003,112.300003,97.300003,,
TAS,Dayt. theta Aurigids,81,111,96,,
TCA,tau Cancrids,192.300003,222.300003,207.300003,,
TCB,theta Coronae Borealids,281.5,311.5,296.5,,
TCE,Centaurid II complex,303.299988,351.700012,312.700012,,
TCN,theta Centaurids,307.700012,337.700012,322.700012,,
THA,November theta Aurigids,222,252,237,,
TOP,tau Ophiuchids,40,70,55,,
TPI,theta Piscids,132,162,147,,
TPR,theta Perseids,91,121,106,,
TPU,tau Puppids,255.699997,285.700012,270.700012,,
TPY,Theta Pyxidids,239.943436,256.205261,249.385178,,
TRI,August Triangulids,124.800003,154.800003,139.800003,,
TSR,theta Serpentids,50,80,65,,
TVI,theta Virginids,14.5,44.5,29.5,,
UAN,upsilon Andromedids,81.199997,111.199997,96.199997,,
UCE,upsilon Cetids,131,161,146,,
UER,upsilon Eridanids,280.600006,310.600006,295.600006,,
URS,Ursids,256.983704,282.65033,265.49057,,
UUM,upsilon Ursae Majorids,225,255,240,,
